"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.011524941E2,4.301839974E1,1.381920077E1,1.193882646E2,1.635681763E2,1.330000043E0,2.708999939E2,1.538904324E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.021587599E2,4.301839506E1,1.381918776E1,1.197193230E2,1.638992920E2,1.309999943E0,2.622999878E2,1.551342013E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.031577682E2,4.301839034E1,1.381917389E1,1.196717774E2,1.638518066E2,1.330000043E0,2.558000031E2,1.563942380E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.041543740E2,4.301838712E1,1.381915903E1,1.181751977E2,1.623552856E2,1.360000014E0,2.640000000E2,1.576299754E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.051509746E2,4.301838711E1,1.381914383E1,1.180863418E2,1.622664795E2,1.340000033E0,2.682999878E2,1.590381198E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.061544835E2,4.301838424E1,1.381912696E1,1.183489119E2,1.625291138E2,1.399999976E0,2.610000000E2,1.604436256E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.071557788E2,4.301838340E1,1.381910971E1,1.181760623E2,1.623563232E2,1.350000024E0,2.618999939E2,1.615458909E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.081604017E2,4.301838959E1,1.381909912E1,1.166053685E2,1.607856445E2,1.240000010E0,2.927000122E2,1.627330719E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.091551091E2,4.301839794E1,1.381909002E1,1.161063416E2,1.602866211E2,1.279999971E0,3.043999939E2,1.637866384E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.101530867E2,4.301840337E1,1.381907940E1,1.159237679E2,1.601040649E2,1.230000019E0,2.817000122E2,1.650407192E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.111555539E2,4.301840876E1,1.381906585E1,1.160502664E2,1.602305908E2,1.240000010E0,2.932999878E2,1.662199821E-1,3.790092468E0,3.000000000E0,2.400000000E1
1.121519620E2,4.301840950E1,1.381905138E1,1.167723284E2,1.609526978E2,1.250000000E0,2.528000031E2,1.671202466E-1,3.790092468E0,3.000000000E0,2.400000000E1
